349,348,347,346,345,344,343,342,341,340,339,338,337,336,335,334,333,332,331,330,329,328,327,326,325,324,323,322,321,320,319,318,317,316,315,314,313,312,311,310,309,308,307,306,305,304,303,302,301,300,299,298,297,296,295,294,293,292,291,290,289,288,287,286,285,284,283,282,281,280,279,278,277,276,275,274,273,272,271,270,269,268,267,266,265,264,263,262,261,260,259,258,257,256,255,254,253,252,251,250,249,248,247,246,245,244,243,242,241,240,239,238,237,236,235,234,233,232,231,230,229,228,227,226,225,224,223,222,221,220,219,218,217,216,215,214,213,212,211,210,209,208,207,206,205,204,203,202,201,200,199,198,197,196,195,194,193,192,191,190
-0.002,0.006,0.002,0.009,-0.001,-0.003,0.011,-0.001,0,0,-0.007,0.007,0.003,0,-0.001,-0.001,-0.004,0.002,0.006,0.001,0.002,0.005,0.002,0.002,-0.001,0.006,-0.002,-0.006,-0.001,-0.002,0.001,0.006,-0.004,0.002,0,0.006,0.001,-0.009,0,0,0.006,-0.003,-0.003,0.001,-0.001,-0.002,0.009,0.01,0.005,0.01,0.01,0.019,0.015,0.016,0.018,0.023,0.025,0.025,0.034,0.033,0.039,0.041,0.039,0.046,0.049,0.052,0.052,0.049,0.045,0.049,0.049,0.057,0.051,0.053,0.048,0.043,0.046,0.044,0.044,0.043,0.038,0.036,0.038,0.043,0.034,0.037,0.034,0.043,0.039,0.043,0.042,0.042,0.053,0.06,0.063,0.069,0.077,0.089,0.1,0.108,0.113,0.129,0.14,0.153,0.165,0.179,0.192,0.21,0.219,0.234,0.235,0.25,0.261,0.27,0.276,0.279,0.285,0.286,0.296,0.29,0.296,0.298,0.3,0.304,0.301,0.312,0.317,0.318,0.339,0.333,0.354,0.371,0.387,0.431,0.453,0.475,0.509,0.561,0.612,0.67,0.691,0.749,0.776,0.812,0.849,0.847,0.843,0.845,0.861,0.844,0.958,0.969,0.92,0.873,0.796,0.735,0.602,0.552,0.395,0.214
-0.001,0.002,0.003,0.004,-0.001,-0.005,0.008,0.003,-0.003,-0.003,0.001,0.003,0.001,-0.001,-0.001,0.004,0.001,0.002,0.007,-0.002,0.003,0.005,-0.004,-0.002,-0.003,-0.002,-0.001,-0.004,0,-0.001,-0.002,0.003,-0.003,0.007,0.002,0.001,0,-0.002,-0.004,-0.005,0.006,-0.001,0.001,0.005,0.003,-0.001,0.005,0.018,0.011,0.014,0.019,0.025,0.03,0.031,0.04,0.05,0.057,0.054,0.064,0.064,0.077,0.078,0.084,0.093,0.089,0.095,0.098,0.095,0.098,0.095,0.096,0.097,0.099,0.096,0.094,0.087,0.084,0.077,0.08,0.077,0.071,0.076,0.069,0.075,0.064,0.069,0.068,0.072,0.071,0.078,0.079,0.083,0.094,0.107,0.116,0.132,0.148,0.159,0.18,0.199,0.218,0.239,0.27,0.289,0.318,0.345,0.367,0.392,0.414,0.44,0.456,0.471,0.491,0.505,0.509,0.528,0.53,0.534,0.541,0.547,0.54,0.546,0.551,0.556,0.558,0.567,0.569,0.587,0.595,0.609,0.632,0.668,0.688,0.744,0.792,0.834,0.891,0.935,0.993,1.045,1.093,1.1,1.132,1.114,1.106,1.06,1.061,1.022,0.986,0.964,1.178,1.129,1.02,0.978,0.895,0.83,0.68,0.591,0.416,0.201
0.003,0.004,0.001,-0.001,-0.001,-0.006,0.009,0.005,-0.011,-0.006,-0.004,0.009,0.006,0,0.002,-0.001,0.001,0.001,0.002,0.003,0.001,0.004,0.001,-0.002,0.005,-0.001,-0.003,-0.004,0.001,-0.003,-0.002,-0.001,-0.003,0.005,0.003,0.001,-0.004,-0.009,-0.008,-0.003,0.008,-0.004,0.001,0.006,0.009,0.002,0.01,0.016,0.018,0.027,0.031,0.045,0.051,0.053,0.069,0.074,0.084,0.089,0.109,0.113,0.121,0.127,0.138,0.142,0.147,0.154,0.155,0.158,0.154,0.158,0.16,0.157,0.148,0.151,0.145,0.144,0.137,0.13,0.123,0.122,0.118,0.114,0.11,0.109,0.106,0.103,0.109,0.11,0.113,0.121,0.125,0.131,0.151,0.168,0.184,0.208,0.234,0.26,0.286,0.316,0.348,0.391,0.421,0.454,0.501,0.54,0.577,0.614,0.65,0.679,0.705,0.726,0.757,0.777,0.788,0.807,0.808,0.819,0.821,0.825,0.833,0.834,0.837,0.844,0.836,0.849,0.863,0.879,0.892,0.914,0.943,0.977,1.005,1.055,1.108,1.155,1.17,1.21,1.246,1.258,1.241,1.238,1.194,1.194,1.139,1.136,1.082,1.056,1.011,1.001,1.18,1.13,1.062,1.041,0.916,0.859,0.726,0.568,0.417,0.208
0.039,0.033,0.034,0.037,0.027,0.033,0.04,0.045,0.037,0.037,0.04,0.044,0.042,0.041,0.042,0.037,0.039,0.041,0.042,0.039,0.041,0.044,0.041,0.034,0.038,0.046,0.042,0.032,0.041,0.036,0.041,0.043,0.041,0.053,0.043,0.049,0.043,0.037,0.039,0.043,0.046,0.045,0.043,0.048,0.05,0.05,0.06,0.065,0.072,0.084,0.088,0.106,0.108,0.123,0.137,0.147,0.16,0.172,0.185,0.197,0.211,0.219,0.229,0.237,0.246,0.248,0.253,0.256,0.261,0.257,0.258,0.257,0.249,0.243,0.238,0.233,0.228,0.227,0.212,0.213,0.203,0.2,0.195,0.196,0.188,0.19,0.193,0.192,0.201,0.208,0.217,0.23,0.252,0.275,0.296,0.326,0.361,0.386,0.429,0.464,0.506,0.549,0.6,0.655,0.7,0.759,0.8,0.85,0.889,0.929,0.955,0.978,1.015,1.044,1.045,1.063,1.079,1.083,1.093,1.093,1.096,1.096,1.094,1.101,1.109,1.11,1.116,1.129,1.136,1.164,1.176,1.214,1.218,1.268,1.296,1.312,1.319,1.317,1.292,1.3,1.265,1.235,1.209,1.193,1.146,1.115,1.072,1.056,1.023,0.996,1.191,1.155,1.066,1.01,0.882,0.856,0.731,0.588,0.466,0.193
0.037,0.039,0.04,0.044,0.036,0.036,0.046,0.046,0.038,0.04,0.036,0.042,0.045,0.039,0.042,0.037,0.042,0.042,0.04,0.042,0.048,0.043,0.035,0.04,0.04,0.042,0.04,0.039,0.038,0.038,0.047,0.045,0.038,0.045,0.045,0.046,0.044,0.038,0.046,0.036,0.051,0.038,0.041,0.051,0.049,0.047,0.066,0.072,0.081,0.087,0.097,0.116,0.123,0.139,0.156,0.176,0.191,0.196,0.224,0.234,0.252,0.253,0.275,0.286,0.291,0.298,0.303,0.31,0.308,0.307,0.31,0.306,0.295,0.294,0.286,0.282,0.269,0.262,0.254,0.249,0.242,0.24,0.228,0.231,0.218,0.222,0.22,0.231,0.231,0.243,0.259,0.271,0.297,0.324,0.354,0.39,0.432,0.467,0.511,0.554,0.605,0.669,0.728,0.779,0.844,0.898,0.958,1.01,1.045,1.097,1.132,1.163,1.181,1.216,1.229,1.244,1.253,1.273,1.266,1.268,1.255,1.26,1.257,1.267,1.265,1.261,1.264,1.27,1.294,1.299,1.307,1.321,1.333,1.355,1.376,1.375,1.345,1.337,1.349,1.31,1.268,1.262,1.217,1.207,1.16,1.102,1.088,1.047,1.015,0.99,1.198,1.153,1.091,0.987,0.899,0.883,0.73,0.603,0.437,0.235
0.04,0.041,0.038,0.046,0.041,0.04,0.043,0.042,0.035,0.037,0.039,0.04,0.041,0.041,0.047,0.037,0.04,0.042,0.036,0.037,0.041,0.041,0.04,0.034,0.04,0.049,0.043,0.041,0.044,0.039,0.044,0.042,0.041,0.05,0.05,0.044,0.045,0.042,0.043,0.045,0.048,0.044,0.048,0.052,0.059,0.056,0.068,0.08,0.082,0.1,0.116,0.135,0.149,0.166,0.181,0.202,0.218,0.24,0.264,0.278,0.304,0.306,0.328,0.341,0.348,0.364,0.361,0.363,0.362,0.367,0.365,0.37,0.357,0.354,0.341,0.336,0.323,0.315,0.302,0.295,0.284,0.281,0.272,0.274,0.257,0.264,0.261,0.27,0.281,0.289,0.309,0.327,0.356,0.384,0.422,0.465,0.518,0.562,0.621,0.67,0.737,0.805,0.868,0.934,1.009,1.076,1.139,1.195,1.231,1.289,1.307,1.332,1.354,1.382,1.395,1.4,1.404,1.418,1.413,1.42,1.414,1.396,1.398,1.412,1.403,1.406,1.408,1.377,1.4,1.399,1.408,1.409,1.385,1.404,1.392,1.405,1.359,1.352,1.328,1.305,1.285,1.261,1.214,1.196,1.173,1.134,1.086,1.039,1.015,0.994,1.182,1.128,1.077,1.026,0.892,0.874,0.717,0.559,0.442,0.222
0.037,0.041,0.039,0.04,0.037,0.034,0.048,0.044,0.043,0.042,0.04,0.045,0.041,0.044,0.045,0.036,0.044,0.041,0.043,0.042,0.048,0.045,0.042,0.04,0.042,0.049,0.043,0.034,0.043,0.039,0.045,0.044,0.042,0.052,0.048,0.043,0.045,0.044,0.045,0.044,0.056,0.046,0.044,0.048,0.061,0.062,0.069,0.085,0.095,0.119,0.13,0.154,0.167,0.188,0.212,0.235,0.254,0.273,0.304,0.324,0.348,0.364,0.378,0.394,0.406,0.42,0.422,0.43,0.427,0.429,0.422,0.421,0.414,0.413,0.39,0.383,0.371,0.361,0.347,0.342,0.328,0.319,0.31,0.305,0.297,0.302,0.302,0.311,0.316,0.331,0.355,0.371,0.409,0.446,0.489,0.539,0.593,0.658,0.716,0.774,0.844,0.924,1.002,1.077,1.149,1.22,1.273,1.327,1.382,1.408,1.437,1.459,1.474,1.484,1.497,1.488,1.502,1.502,1.511,1.507,1.478,1.478,1.491,1.481,1.476,1.475,1.456,1.468,1.437,1.444,1.451,1.456,1.425,1.432,1.419,1.396,1.377,1.363,1.318,1.303,1.254,1.257,1.213,1.196,1.162,1.119,1.075,1.052,1.03,0.99,1.227,1.115,1.05,1.029,0.862,0.879,0.714,0.583,0.464,0.219
0.033,0.039,0.037,0.043,0.043,0.034,0.048,0.041,0.037,0.042,0.035,0.04,0.036,0.04,0.044,0.04,0.049,0.043,0.041,0.039,0.044,0.047,0.039,0.038,0.047,0.046,0.045,0.044,0.044,0.046,0.041,0.046,0.043,0.052,0.046,0.051,0.044,0.043,0.045,0.041,0.058,0.046,0.049,0.056,0.061,0.064,0.075,0.093,0.107,0.127,0.143,0.173,0.19,0.215,0.241,0.267,0.288,0.317,0.352,0.369,0.399,0.416,0.436,0.45,0.466,0.478,0.484,0.483,0.488,0.492,0.487,0.485,0.472,0.463,0.454,0.436,0.424,0.413,0.396,0.383,0.376,0.362,0.357,0.349,0.341,0.341,0.34,0.354,0.366,0.385,0.403,0.428,0.467,0.516,0.559,0.624,0.683,0.751,0.814,0.892,0.971,1.05,1.132,1.208,1.28,1.359,1.404,1.456,1.475,1.509,1.529,1.541,1.568,1.559,1.574,1.56,1.583,1.564,1.556,1.558,1.557,1.539,1.532,1.521,1.526,1.524,1.505,1.482,1.485,1.471,1.46,1.471,1.442,1.441,1.424,1.398,1.363,1.361,1.333,1.314,1.256,1.251,1.213,1.204,1.161,1.108,1.078,1.037,1.013,0.998,1.23,1.163,1.058,1.009,0.896,0.872,0.704,0.555,0.446,0.223
0.042,0.048,0.039,0.041,0.038,0.04,0.049,0.049,0.04,0.046,0.044,0.048,0.048,0.036,0.042,0.04,0.043,0.042,0.043,0.045,0.047,0.048,0.042,0.039,0.038,0.048,0.043,0.042,0.049,0.04,0.04,0.045,0.043,0.057,0.044,0.05,0.044,0.047,0.046,0.044,0.055,0.044,0.05,0.065,0.064,0.069,0.087,0.101,0.112,0.136,0.159,0.192,0.213,0.248,0.269,0.298,0.331,0.363,0.391,0.422,0.457,0.469,0.496,0.512,0.526,0.543,0.547,0.555,0.563,0.557,0.55,0.553,0.538,0.527,0.513,0.499,0.487,0.465,0.448,0.443,0.424,0.416,0.402,0.398,0.386,0.388,0.387,0.403,0.411,0.431,0.452,0.484,0.53,0.577,0.635,0.705,0.782,0.851,0.926,0.996,1.08,1.183,1.253,1.335,1.393,1.459,1.485,1.54,1.554,1.567,1.579,1.595,1.593,1.599,1.589,1.593,1.589,1.588,1.596,1.576,1.569,1.551,1.541,1.548,1.535,1.527,1.499,1.514,1.505,1.482,1.479,1.455,1.433,1.424,1.428,1.41,1.35,1.341,1.31,1.319,1.266,1.26,1.209,1.189,1.154,1.12,1.09,1.022,1.021,0.984,1.227,1.094,1.092,1.039,0.903,0.862,0.714,0.559,0.442,0.206
