nm,Abs,
350.00,  -0.004,
349.00,  -0.001,
348.00,  0.002,
347.00,  0.003,
346.00,  0.004,
345.00,  -0.001,
344.00,  -0.005,
343.00,  0.008,
342.00,  0.003,
341.00,  -0.003,
340.00,  -0.003,
339.00,  0.001,
338.00,  0.003,
337.00,  0.001,
336.00,  -0.001,
335.00,  -0.001,
334.00,  0.004,
333.00,  0.001,
332.00,  0.002,
331.00,  0.007,
330.00,  -0.002,
329.00,  0.003,
328.00,  0.005,
327.00,  -0.004,
326.00,  -0.002,
325.00,  -0.003,
324.00,  -0.002,
323.00,  -0.001,
322.00,  -0.004,
321.00,  0.000,
320.00,  -0.001,
319.00,  -0.002,
318.00,  0.003,
317.00,  -0.003,
316.00,  0.007,
315.00,  0.002,
314.00,  0.001,
313.00,  0.000,
312.00,  -0.002,
311.00,  -0.004,
310.00,  -0.005,
309.00,  0.006,
308.00,  -0.001,
307.00,  0.001,
306.00,  0.005,
305.00,  0.003,
304.00,  -0.001,
303.00,  0.005,
302.00,  0.018,
301.00,  0.011,
300.00,  0.014,
299.00,  0.019,
298.00,  0.025,
297.00,  0.030,
296.00,  0.031,
295.00,  0.040,
294.00,  0.050,
293.00,  0.057,
292.00,  0.054,
291.00,  0.064,
290.00,  0.064,
289.00,  0.077,
288.00,  0.078,
287.00,  0.084,
286.00,  0.093,
285.00,  0.089,
284.00,  0.095,
283.00,  0.098,
282.00,  0.095,
281.00,  0.098,
280.00,  0.095,
279.00,  0.096,
278.00,  0.097,
277.00,  0.099,
276.00,  0.096,
275.00,  0.094,
274.00,  0.087,
273.00,  0.084,
272.00,  0.077,
271.00,  0.080,
270.00,  0.077,
269.00,  0.071,
268.00,  0.076,
267.00,  0.069,
266.00,  0.075,
265.00,  0.064,
264.00,  0.069,
263.00,  0.068,
262.00,  0.072,
261.00,  0.071,
260.00,  0.078,
259.00,  0.079,
258.00,  0.083,
257.00,  0.094,
256.00,  0.107,
255.00,  0.116,
254.00,  0.132,
253.00,  0.148,
252.00,  0.159,
251.00,  0.180,
250.00,  0.199,
249.00,  0.218,
248.00,  0.239,
247.00,  0.270,
246.00,  0.289,
245.00,  0.318,
244.00,  0.345,
243.00,  0.367,
242.00,  0.392,
241.00,  0.414,
240.00,  0.440,
239.00,  0.456,
238.00,  0.471,
237.00,  0.491,
236.00,  0.505,
235.00,  0.509,
234.00,  0.528,
233.00,  0.530,
232.00,  0.534,
231.00,  0.541,
230.00,  0.547,
229.00,  0.540,
228.00,  0.546,
227.00,  0.551,
226.00,  0.556,
225.00,  0.558,
224.00,  0.567,
223.00,  0.569,
222.00,  0.587,
221.00,  0.595,
220.00,  0.609,
219.00,  0.632,
218.00,  0.668,
217.00,  0.688,
216.00,  0.744,
215.00,  0.792,
214.00,  0.834,
213.00,  0.891,
212.00,  0.935,
211.00,  0.993,
210.00,  1.045,
209.00,  1.093,
208.00,  1.100,
207.00,  1.132,
206.00,  1.114,
205.00,  1.106,
204.00,  1.060,
203.00,  1.061,
202.00,  1.022,
201.00,  0.986,
200.00,  0.964,
199.00,  1.178,
198.00,  1.129,
197.00,  1.020,
196.00,  0.978,
195.00,  0.895,
194.00,  0.830,
193.00,  0.680,
192.00,  0.591,
191.00,  0.416,
190.00,  0.201,
