nm,Abs,
350.00,  0.046,
349.00,  0.042,
348.00,  0.048,
347.00,  0.039,
346.00,  0.041,
345.00,  0.038,
344.00,  0.040,
343.00,  0.049,
342.00,  0.049,
341.00,  0.040,
340.00,  0.046,
339.00,  0.044,
338.00,  0.048,
337.00,  0.048,
336.00,  0.036,
335.00,  0.042,
334.00,  0.040,
333.00,  0.043,
332.00,  0.042,
331.00,  0.043,
330.00,  0.045,
329.00,  0.047,
328.00,  0.048,
327.00,  0.042,
326.00,  0.039,
325.00,  0.038,
324.00,  0.048,
323.00,  0.043,
322.00,  0.042,
321.00,  0.049,
320.00,  0.040,
319.00,  0.040,
318.00,  0.045,
317.00,  0.043,
316.00,  0.057,
315.00,  0.044,
314.00,  0.050,
313.00,  0.044,
312.00,  0.047,
311.00,  0.046,
310.00,  0.044,
309.00,  0.055,
308.00,  0.044,
307.00,  0.050,
306.00,  0.065,
305.00,  0.064,
304.00,  0.069,
303.00,  0.087,
302.00,  0.101,
301.00,  0.112,
300.00,  0.136,
299.00,  0.159,
298.00,  0.192,
297.00,  0.213,
296.00,  0.248,
295.00,  0.269,
294.00,  0.298,
293.00,  0.331,
292.00,  0.363,
291.00,  0.391,
290.00,  0.422,
289.00,  0.457,
288.00,  0.469,
287.00,  0.496,
286.00,  0.512,
285.00,  0.526,
284.00,  0.543,
283.00,  0.547,
282.00,  0.555,
281.00,  0.563,
280.00,  0.557,
279.00,  0.550,
278.00,  0.553,
277.00,  0.538,
276.00,  0.527,
275.00,  0.513,
274.00,  0.499,
273.00,  0.487,
272.00,  0.465,
271.00,  0.448,
270.00,  0.443,
269.00,  0.424,
268.00,  0.416,
267.00,  0.402,
266.00,  0.398,
265.00,  0.386,
264.00,  0.388,
263.00,  0.387,
262.00,  0.403,
261.00,  0.411,
260.00,  0.431,
259.00,  0.452,
258.00,  0.484,
257.00,  0.530,
256.00,  0.577,
255.00,  0.635,
254.00,  0.705,
253.00,  0.782,
252.00,  0.851,
251.00,  0.926,
250.00,  0.996,
249.00,  1.080,
248.00,  1.183,
247.00,  1.253,
246.00,  1.335,
245.00,  1.393,
244.00,  1.459,
243.00,  1.485,
242.00,  1.540,
241.00,  1.554,
240.00,  1.567,
239.00,  1.579,
238.00,  1.595,
237.00,  1.593,
236.00,  1.599,
235.00,  1.589,
234.00,  1.593,
233.00,  1.589,
232.00,  1.588,
231.00,  1.596,
230.00,  1.576,
229.00,  1.569,
228.00,  1.551,
227.00,  1.541,
226.00,  1.548,
225.00,  1.535,
224.00,  1.527,
223.00,  1.499,
222.00,  1.514,
221.00,  1.505,
220.00,  1.482,
219.00,  1.479,
218.00,  1.455,
217.00,  1.433,
216.00,  1.424,
215.00,  1.428,
214.00,  1.410,
213.00,  1.350,
212.00,  1.341,
211.00,  1.310,
210.00,  1.319,
209.00,  1.266,
208.00,  1.260,
207.00,  1.209,
206.00,  1.189,
205.00,  1.154,
204.00,  1.120,
203.00,  1.090,
202.00,  1.022,
201.00,  1.021,
200.00,  0.984,
199.00,  1.227,
198.00,  1.094,
197.00,  1.092,
196.00,  1.039,
195.00,  0.903,
194.00,  0.862,
193.00,  0.714,
192.00,  0.559,
191.00,  0.442,
190.00,  0.206,
