nm,Abs
350,0.006
349,0.01
348,0.012
347,0.01
346,0.012
345,0.01
344,0.01
343,0.021
342,0.016
341,0.01
340,0.011
339,0.016
338,0.016
337,0.021
336,0.019
335,0.023
334,0.021
333,0.025
332,0.022
331,0.026
330,0.02
329,0.025
328,0.028
327,0.024
326,0.022
325,0.023
324,0.028
323,0.022
322,0.028
321,0.026
320,0.025
319,0.018
318,0.029
317,0.028
316,0.033
315,0.03
314,0.032
313,0.029
312,0.026
311,0.027
310,0.027
309,0.04
308,0.034
307,0.037
306,0.049
305,0.043
304,0.042
303,0.049
302,0.053
301,0.042
300,0.049
299,0.048
298,0.049
297,0.053
296,0.055
295,0.058
294,0.053
293,0.055
292,0.047
291,0.048
290,0.05
289,0.049
288,0.049
287,0.045
286,0.05
285,0.059
284,0.056
283,0.056
282,0.054
281,0.057
280,0.052
279,0.059
278,0.063
277,0.066
276,0.066
275,0.069
274,0.067
273,0.077
272,0.073
271,0.069
270,0.08
269,0.076
268,0.076
267,0.077
266,0.077
265,0.075
264,0.075
263,0.076
262,0.081
261,0.083
260,0.083
259,0.078
258,0.076
257,0.084
256,0.085
255,0.085
254,0.086
253,0.091
252,0.087
251,0.091
250,0.091
249,0.096
248,0.099
247,0.099
246,0.096
245,0.104
244,0.109
243,0.114
242,0.112
241,0.115
240,0.12
239,0.109
238,0.112
237,0.119
236,0.115
235,0.107
234,0.113
233,0.11
232,0.111
231,0.115
230,0.109
229,0.109
228,0.116
227,0.121
226,0.126
225,0.128
224,0.121
223,0.125
222,0.129
221,0.135
220,0.133
219,0.135
218,0.142
217,0.148
216,0.154
215,0.158
214,0.159
213,0.16
212,0.168
211,0.181
210,0.194
209,0.184
208,0.191
207,0.207
206,0.209
205,0.216
204,0.219
203,0.238
202,0.237
201,0.256
200,0.266
199,0.311
198,0.313
197,0.331
196,0.333
195,0.368
194,0.363
193,0.311
192,0.275
191,0.215
190,0.043
