nm,Abs,
350.00,  0.068,
349.00,  0.076,
348.00,  0.069,
347.00,  0.078,
346.00,  0.076,
345.00,  0.078,
344.00,  0.079,
343.00,  0.085,
342.00,  0.080,
341.00,  0.074,
340.00,  0.080,
339.00,  0.081,
338.00,  0.084,
337.00,  0.085,
336.00,  0.083,
335.00,  0.084,
334.00,  0.076,
333.00,  0.082,
332.00,  0.077,
331.00,  0.078,
330.00,  0.076,
329.00,  0.084,
328.00,  0.084,
327.00,  0.086,
326.00,  0.070,
325.00,  0.079,
324.00,  0.085,
323.00,  0.080,
322.00,  0.077,
321.00,  0.083,
320.00,  0.077,
319.00,  0.083,
318.00,  0.086,
317.00,  0.080,
316.00,  0.089,
315.00,  0.084,
314.00,  0.087,
313.00,  0.085,
312.00,  0.084,
311.00,  0.084,
310.00,  0.081,
309.00,  0.086,
308.00,  0.085,
307.00,  0.088,
306.00,  0.091,
305.00,  0.087,
304.00,  0.080,
303.00,  0.086,
302.00,  0.095,
301.00,  0.087,
300.00,  0.094,
299.00,  0.094,
298.00,  0.096,
297.00,  0.092,
296.00,  0.094,
295.00,  0.099,
294.00,  0.101,
293.00,  0.101,
292.00,  0.098,
291.00,  0.108,
290.00,  0.105,
289.00,  0.111,
288.00,  0.107,
287.00,  0.115,
286.00,  0.116,
285.00,  0.122,
284.00,  0.126,
283.00,  0.129,
282.00,  0.129,
281.00,  0.129,
280.00,  0.130,
279.00,  0.130,
278.00,  0.134,
277.00,  0.134,
276.00,  0.144,
275.00,  0.143,
274.00,  0.149,
273.00,  0.153,
272.00,  0.149,
271.00,  0.149,
270.00,  0.152,
269.00,  0.154,
268.00,  0.156,
267.00,  0.159,
266.00,  0.164,
265.00,  0.156,
264.00,  0.166,
263.00,  0.163,
262.00,  0.167,
261.00,  0.165,
260.00,  0.167,
259.00,  0.167,
258.00,  0.170,
257.00,  0.176,
256.00,  0.184,
255.00,  0.181,
254.00,  0.190,
253.00,  0.200,
252.00,  0.198,
251.00,  0.211,
250.00,  0.208,
249.00,  0.219,
248.00,  0.228,
247.00,  0.233,
246.00,  0.242,
245.00,  0.250,
244.00,  0.268,
243.00,  0.281,
242.00,  0.297,
241.00,  0.307,
240.00,  0.330,
239.00,  0.334,
238.00,  0.354,
237.00,  0.366,
236.00,  0.385,
235.00,  0.388,
234.00,  0.403,
233.00,  0.414,
232.00,  0.427,
231.00,  0.449,
230.00,  0.452,
229.00,  0.453,
228.00,  0.467,
227.00,  0.479,
226.00,  0.493,
225.00,  0.494,
224.00,  0.507,
223.00,  0.511,
222.00,  0.526,
221.00,  0.541,
220.00,  0.544,
219.00,  0.563,
218.00,  0.589,
217.00,  0.604,
216.00,  0.632,
215.00,  0.658,
214.00,  0.680,
213.00,  0.713,
212.00,  0.759,
211.00,  0.799,
210.00,  0.863,
209.00,  0.887,
208.00,  0.916,
207.00,  0.951,
206.00,  0.984,
205.00,  1.004,
204.00,  0.992,
203.00,  0.977,
202.00,  0.965,
201.00,  0.966,
200.00,  0.943,
199.00,  1.081,
198.00,  1.070,
197.00,  1.045,
196.00,  0.975,
195.00,  0.856,
194.00,  0.862,
193.00,  0.668,
192.00,  0.577,
191.00,  0.432,
190.00,  0.207,
