nm,Abs
350,0.026
349,0.024
348,0.025
347,0.022
346,0.022
345,0.033
344,0.023
343,0.034
342,0.023
341,0.023
340,0.024
339,0.024
338,0.031
337,0.022
336,0.031
335,0.024
334,0.028
333,0.034
332,0.029
331,0.037
330,0.034
329,0.032
328,0.034
327,0.02
326,0.032
325,0.019
324,0.025
323,0.03
322,0.02
321,0.026
320,0.015
319,0.029
318,0.022
317,0.016
316,0.018
315,0.024
314,0.024
313,0.021
312,0.02
311,0.033
310,0.023
309,0.029
308,0.021
307,0.028
306,0.021
305,0.029
304,0.027
303,0.034
302,0.03
301,0.036
300,0.03
299,0.034
298,0.034
297,0.043
296,0.039
295,0.036
294,0.038
293,0.038
292,0.037
291,0.038
290,0.043
289,0.045
288,0.049
287,0.055
286,0.056
285,0.06
284,0.076
283,0.083
282,0.086
281,0.089
280,0.09
279,0.096
278,0.1
277,0.104
276,0.103
275,0.102
274,0.112
273,0.114
272,0.11
271,0.109
270,0.109
269,0.11
268,0.11
267,0.11
266,0.113
265,0.11
264,0.109
263,0.11
262,0.107
261,0.117
260,0.122
259,0.127
258,0.131
257,0.137
256,0.143
255,0.15
254,0.161
253,0.165
252,0.182
251,0.188
250,0.206
249,0.213
248,0.228
247,0.244
246,0.264
245,0.28
244,0.303
243,0.32
242,0.337
241,0.366
240,0.392
239,0.408
238,0.429
237,0.446
236,0.469
235,0.486
234,0.511
233,0.53
232,0.548
231,0.559
230,0.57
229,0.589
228,0.6
227,0.615
226,0.631
225,0.647
224,0.651
223,0.687
222,0.71
221,0.714
220,0.744
219,0.763
218,0.799
217,0.842
216,0.873
215,0.91
214,0.962
213,1.019
212,1.065
211,1.117
210,1.105
209,1.107
208,1.139
207,1.194
206,1.179
205,1.175
204,1.152
203,1.14
202,1.088
201,1.072
200,1.042
199,1.145
198,1.183
197,1.092
196,1.082
195,0.951
194,0.925
193,0.736
192,0.597
191,0.494
190,0.191
