nm,Abs
350,0.001
349,0.009
348,0.013
347,0.01
346,0.011
345,0.008
344,0.01
343,0.016
342,0.017
341,0.004
340,0.004
339,0.003
338,0.013
337,0.01
336,0.01
335,0.016
334,0.01
333,0.008
332,0.005
331,0.01
330,0.007
329,0.009
328,0.017
327,0.011
326,0.008
325,0.017
324,0.018
323,0.016
322,0.009
321,0.011
320,0.01
319,0.015
318,0.018
317,0.012
316,0.026
315,0.021
314,0.022
313,0.015
312,0.017
311,0.022
310,0.021
309,0.027
308,0.018
307,0.018
306,0.021
305,0.017
304,0.015
303,0.019
302,0.026
301,0.021
300,0.023
299,0.017
298,0.024
297,0.018
296,0.022
295,0.021
294,0.024
293,0.027
292,0.021
291,0.028
290,0.023
289,0.022
288,0.026
287,0.025
286,0.028
285,0.028
284,0.031
283,0.033
282,0.027
281,0.025
280,0.028
279,0.027
278,0.03
277,0.029
276,0.031
275,0.031
274,0.032
273,0.031
272,0.032
271,0.031
270,0.035
269,0.033
268,0.035
267,0.035
266,0.039
265,0.033
264,0.034
263,0.036
262,0.036
261,0.036
260,0.037
259,0.037
258,0.036
257,0.036
256,0.036
255,0.037
254,0.038
253,0.04
252,0.038
251,0.043
250,0.04
249,0.041
248,0.043
247,0.038
246,0.041
245,0.039
244,0.04
243,0.04
242,0.046
241,0.043
240,0.046
239,0.047
238,0.046
237,0.051
236,0.052
235,0.051
234,0.048
233,0.052
232,0.054
231,0.054
230,0.055
229,0.06
228,0.055
227,0.058
226,0.058
225,0.062
224,0.066
223,0.064
222,0.067
221,0.073
220,0.07
219,0.068
218,0.077
217,0.072
216,0.077
215,0.079
214,0.081
213,0.074
212,0.087
211,0.093
210,0.093
209,0.084
208,0.102
207,0.095
206,0.106
205,0.116
204,0.109
203,0.122
202,0.125
201,0.147
200,0.145
199,0.155
198,0.168
197,0.196
196,0.213
195,0.209
194,0.207
193,0.238
192,0.205
191,0.155
190,0.083
